row ID,row m/z,row retention time,오미자 중국1,오미자 중국2,오미자 중국3,오미자 중국4,오미자 중국5,오미자 중국6,오미자 중국7,오미자 중국8,오미자 중국9,오미자 중국10,오미자 중국11,오미자 중국12,오미자 중국13,오미자 중국14,오미자 중국15,오미자 중국16,오미자 중국17,오미자 중국18,오미자 중국19,오미자 중국20,오미자 중국21,오미자 중국22,오미자 중국23,오미자 중국24,오미자 중국25,오미자 중국26,오미자 중국27,오미자 한국1,오미자 한국2,오미자 한국3,오미자 한국4,오미자 한국5,오미자 한국6,오미자 한국7,오미자 한국8,오미자 한국9,오미자 한국10,오미자 한국11,오미자 한국12,오미자 한국13,오미자 한국14,오미자 한국15,오미자 한국16,오미자 한국17,오미자 한국18,오미자 한국19,오미자 한국20,오미자 한국21,오미자 한국22,오미자 한국23,오미자 한국24,오미자 한국25,오미자 한국26,오미자 한국27,오미자 한국28,오미자 한국29,오미자 한국30
1,55.0498412,70.77480595,0,112544.444,0,0,0,103568.866,0,0,0,0,143661.916,0,0,0,76050.682,0,0,0,0,139616.597,0,0,0,174593.213,0,237517.603,0,0,89274.021,0,0,0,0,0,96944.965,0,0,0,0,0,88105.643,89346.237,0,0,0,0,0,0,0,89988.157,0,88126.589,0,0,0,0,99040.34
2,59.01763428,32.4845,0,391161.765,299795.509,277063.493,0,0,135518.514,0,233140.142,0,286140.431,156345.232,0,0,0,0,351569.309,0,416213.974,0,0,210381.91,0,411550.136,0,357044.821,322582.575,114549.296,0,0,0,0,164038.849,183631.231,0,0,134484.002,129906.297,142516.041,135924.577,123222.881,184872.974,0,0,144301.864,0,0,0,0,0,0,0,336937.535,296830.975,0,0,0
3,59.0238178,33.60663077,0,0,121291.745,100553.824,0,0,0,0,94925.945,152353.144,112928.785,0,0,0,0,0,0,0,105143.946,0,0,0,0,113901.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142647.672,140137.561,126340.168,135901.703,135118.101,165113.4
4,59.01912544,35.77199524,0,184744.286,164376.324,142164.596,122315.863,169175.956,0,156623.918,135962.591,283922.741,231500.203,136678.935,0,0,125142.75,0,0,0,0,174482.22,0,297486.321,0,204728.091,0,347917.946,294424.14,158128.925,0,0,0,252525.197,222074.798,0,0,0,0,0,0,0,0,0,0,0,0,0,305534.042,312060.564,0,0,0,0,0,0,0,0,0
5,59.02174006,36.10546757,0,0,0,0,308117.472,0,0,302733.904,0,526419.097,411831.769,0,0,0,286265.888,0,0,0,0,356533.727,143375.651,294864.307,0,420081.972,0,495898.003,548183.58,576119.713,897398.655,592011.71,0,537557.042,1019461.205,1008406.271,545975.811,917447.31,905947.311,579310.562,897762.19,607656.806,788859.467,909488.271,965906.952,0,563418.781,721717.181,572065.109,603269.091,858417.456,971217.582,962688.416,0,891343.626,589251.396,549353.83,838066.079,0
6,59.02337719,39.3468623,873269.212,149339.172,0,0,0,130012.456,313657.826,0,326076.189,249946.172,182787.012,243376.026,747761.718,0,505557.08,0,169720.383,167825.525,0,191532.34,0,206821.851,0,160865.767,343613.042,245157.124,513163.576,884460.101,550441.64,537601.448,748998.203,737802.507,0,0,720216.375,794821.778,790170.962,301438.754,657841.004,795248.286,709356.014,785373.93,0,0,739823.326,426279.809,0,788895.98,834835.202,0,857256.433,831249.97,718423.459,531002.808,682443.606,549157.12,825906.909
7,67.01035485,32.49486154,0,238978.877,180322.741,144574.626,0,0,0,0,126207.287,0,153869.45,0,0,0,0,0,203255.03,0,246805.887,0,0,115182.616,0,248906.216,0,212472.441,188528.625,0,0,0,0,0,0,100641.176,0,0,0,0,0,0,0,108466.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,67.01542555,33.60653571,0,0,128131.617,106821.76,0,0,0,0,99966.377,164656.584,121479.809,0,0,0,0,0,0,0,113224.778,0,0,0,0,121532.408,0,98995.911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151269.345,154157.705,139107.896,151353.391,147389.405,184116.536
9,72.03365135,32.49841771,0,222602.701,171646.445,138826.714,0,0,0,0,118597.943,0,144681.042,0,0,0,0,0,189673.75,0,226774.999,0,0,0,0,232896.96,0,200467.489,178326.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167917.136,181429.929,170174.063,182643.83,159788.149,195067.704
10,72.02377319,35.76401667,0,0,0,0,0,0,0,0,0,0,159278.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,72.0188446,35.75254167,0,0,0,0,0,0,0,0,0,0,122416.938,0,0,0,0,0,0,0,0,0,0,267938.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,73.03386879,8.406222917,0,0,0,0,0,1067520.664,0,0,563799.288,492358.401,747142.025,516338.025,408231.386,1030091.417,0,596370.014,861802.675,854956.216,0,1020201.424,0,0,0,1058943.383,1005465.76,0,0,399849.994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675219.336,0,212944.924,0,0,0,0,0,0,0,0,0
13,73.03159332,8.955969444,0,0,0,0,0,0,0,0,0,0,122553.249,0,0,205190.154,0,0,106064.363,0,941204.769,0,0,0,0,0,0,0,0,0,0,0,0,0,174657.682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126317.82,0
14,73.03691798,32.4750029,0,5202268.637,4495283.785,3870535.775,0,0,1760711.549,0,3415431.811,0,4007162.478,2161433.865,1113573.005,1128960.913,936186.703,0,4748831.317,680554.394,5362524.986,0,0,0,416531.091,5442456.715,392268.002,4938847.409,4677977.529,1838255.73,2639427.691,1889126.077,2751810.152,1146170.622,2611062.928,2622818.074,1929151.397,2398302.828,2108972.876,2362306.069,2200665.28,2061173.786,1833838.227,2783083.241,0,0,2112012.978,1612519.85,1622921.889,1726943.155,2148453.488,2521148.032,2692671.52,4467048.896,4737259.336,4346598.923,4681781.577,4197862.809,5047717.047
15,73.03648609,33.59470688,0,1506989.492,1931490.173,0,840543.316,1329650.301,768603.151,0,1672350.435,2324149.01,1813890.506,1017378.036,718393.856,718409.127,533792.199,147763.863,0,359967.456,1720170.794,1410490.252,0,0,202255.246,1818969.732,220214.813,1440928.235,1544081.831,585401.326,870147.28,700514.456,944415.639,356836.145,972417.157,0,596646.512,723758.832,885078.087,701703.256,658302.235,0,772640.964,910834.256,0,0,706611.567,0,681226.917,533403.624,767495.678,903395.022,921051.735,2336492.517,2344354.462,2103962.55,2290265.262,2123542.988,2671146.845
16,73.0352356,33.88186167,0,243228.539,0,0,0,226958.627,0,0,0,255140.363,216816.229,0,0,0,0,0,0,171271.687,0,153924.395,0,0,0,264681.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352867.704,0,186241.464,253026.09,0,0,0,0,0,0,0,0,0
17,73.03608486,34.27015952,0,0,0,0,0,0,0,0,0,510633.191,505344.198,1134610.686,1470033.298,0,796340.371,410319.856,0,0,0,0,159914.682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,73.0383848,35.01460862,0,192989.442,419367.128,0,0,174884.45,128828.38,0,333605.112,304253.177,206170.043,0,0,0,0,0,0,0,231980.475,199436.627,0,0,0,248302.273,0,0,1229196.004,566858.615,0,0,589471.851,334662.273,0,0,403487.616,503509.328,0,242552.441,317397.089,439676.561,0,543544.55,0,0,0,178718.646,0,0,628940.514,669599.829,0,1663154.157,1188678.901,742316.455,1195132.966,825472.209,1826198.811
19,74.0296936,8.406708333,0,0,0,0,0,0,0,71889.522,0,0,68985.95,0,0,95476.825,0,0,79332.285,0,0,0,0,0,0,0,0,109589.379,111128.388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,74.03610229,32.48316267,0,481559.837,389439.5,329480.181,0,0,136016.425,0,291352.221,0,349791.663,183360.112,0,0,0,0,423363.949,0,507737.294,0,0,250148.806,0,505886.632,0,449230.821,415292.003,138218.824,0,0,0,0,217910.107,219149.287,0,0,177243.294,190140.085,174240.889,170247.549,145892.121,228421.582,0,0,174101.112,0,0,0,0,0,0,0,418181.039,365157.079,0,0,0
21,74.03838629,33.60526667,0,119508.234,156671.793,132559.496,0,109507.304,0,0,134543.92,198254.304,148087.409,0,0,0,0,0,106970.448,0,138405.634,117986.408,0,0,0,157769.511,0,119450.831,121122.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193393.904,185626.593,169249.864,195087.638,179853.437,221323.512
22,74.03489929,35.751148,0,1171865.976,1208645.352,0,643726.215,894566.977,165870.876,810993.003,962804.114,1433518.339,1450947.695,735963.947,708427.041,449041.339,685420.085,137994.458,520021.428,323144.39,0,938370.777,0,1522679.764,0,1389217.518,0,1847470.143,1537785.327,0,0,0,0,1317057.784,1427283.546,0,0,0,675760.416,0,0,944766.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,74.03779638,36.09597222,0,2331342.387,3045020.817,2909193.306,0,0,0,0,2851626.44,3321841.403,2527436.374,0,0,0,0,597325.843,0,0,681448.769,0,750864.551,1634651.382,0,2546230.141,0,3180590.928,3753379.105,4367977.645,5339459.289,4852042.186,5943061.263,3774621.48,5948742.634,5998937.221,4731284.761,5486134.296,5221287.866,4513847.808,5438828.417,3835248.977,4792019.898,5592697.151,5868630.596,0,3793524.174,4325745.69,4605255.691,4859259.148,5307157.822,5973146.68,5982745.439,5713870.316,5337716.033,4498485.954,3642722.946,4958626.513,5837673.983
24,74.03572591,38.36412265,2254197.333,218956.717,519858.133,502600.544,185877.205,221859.367,0,226426.382,0,388851.876,368395.386,465393.394,2027190.098,278262.95,1124322.041,178375.942,255698.671,388717.461,0,355268.382,184735.039,314999.413,0,273305.391,983824.937,459917.212,950063.657,0,997468.745,1153307.448,1724321.892,1760894.391,1749361.781,1590850.078,1638615.583,1851298.094,1623664.607,0,0,0,0,0,0,0,0,0,0,1682539.087,2013606.666,0,0,1834031.854,1576966.694,996847.113,1348900.093,1173770.4,0
25,74.03682887,38.79348759,1756756.452,154077.812,1192771.336,1090706.577,0,146000.615,341863.3,152057.228,454398.651,275744.347,236120.812,329180.083,0,182706.772,801114.249,0,168574.559,271380.475,263798.093,226477.79,0,205450.236,0,170946.606,655800.337,308014.539,642402.609,1534795.642,884900.216,910877.648,1526516.25,1332300.589,0,0,1301246.143,1543467.441,1434149.889,456330.986,1260728.6,1646165.175,1194990.998,1626600.909,0,0,1393447.07,650697.802,1649382.377,1387175.169,1786466.185,1928759.144,1859997.209,1610088.859,1250256.26,717320.376,1125318.647,0,1761720.465
26,75.01359558,8.405876389,0,0,0,0,0,189147.137,0,0,98669.329,74184.884,122160.082,79767.732,0,185309.385,0,106155.018,153158.1,141896.642,0,167873.562,0,0,0,174656.865,172407.676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,75.01922716,32.48086667,0,1155507.189,851580.145,798881.926,0,0,670622.215,0,669268.762,0,807259.788,443641.243,218798.553,211191.824,201111.785,0,1042587.789,115724.271,1126308.26,0,0,0,0,1143955.301,0,963342.625,893492.833,347997.443,0,0,0,0,474961.6,510177.908,0,0,398478.814,411950.733,414834.843,383886.884,355201.035,516469.722,0,0,395660.41,0,0,0,0,0,0,0,944339.344,823011.939,0,0,0
28,75.01843496,33.59570855,0,341276.02,0,0,0,0,289344.171,0,345745.286,508867.819,385894.555,217996.544,144416.306,0,119414.106,0,290579.133,0,349100.348,289789.869,0,0,0,0,0,293643.716,301327.925,107464.696,178976.887,145002.96,179550.109,0,193704.153,0,112896.194,135376.354,163321.672,140542.038,136075.598,114619.969,153977.781,176088.944,0,0,134251.184,131785.909,120930.614,118109.121,143062.174,172005.566,174085.375,464380.046,464810.495,408962.424,441229.996,435136.475,515258.406
29,75.01834869,35.76895,0,1604697.207,1358915.519,1450310.39,1141713.584,1340859.208,1099445.176,1235891.526,1296878.906,2029597.465,1914773.046,0,1201434.26,808380.775,1094932.889,0,1037192.855,0,0,1383914.649,0,2153280.124,0,1612390.766,0,0,0,0,0,0,0,0,1613114.905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,75.01740206,35.96977692,1446911.494,0,4997474.672,5156493.877,0,0,0,0,0,6158536.961,4370989.834,0,3585601.639,3458126.673,3158101.903,0,3921267.849,0,1097375.102,0,1123965.567,0,0,0,0,0,1974960.222,0,0,0,0,1695723.152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,75.02000427,38.33790133,0,316631.391,0,0,309510.743,261710.578,0,263533.106,604013.994,0,380011.705,0,1751317.309,0,1134723.855,202495.243,348599.481,0,0,324033.425,213577.274,0,0,270987.514,0,404636.98,866173.585,0,0,0,1456543.166,1461846.359,0,0,0,1508079.222,0,0,0,1498596.992,0,1448388.152,0,0,1439352.559,0,0,0,0,0,1657670.925,0,1322189.796,824972.425,1085872.267,0,0
32,75.01275444,66.55417917,0,0,0,0,0,0,0,0,428708.47,0,164967.294,0,459384.475,0,364756.56,0,0,0,0,185916.302,0,0,0,0,0,0,0,0,243562.278,0,657253.951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689156.48,0,0,0,0,0,0,0
33,75.01778848,68.39287024,0,391585.602,843706.249,774539.575,0,0,0,0,618170.378,0,460765.194,0,719401.355,0,509180.834,0,0,0,0,467007.384,0,0,0,0,0,0,0,0,305636.126,0,779996.288,0,0,0,0,0,0,0,0,643480.488,832629.047,0,0,0,0,0,0,0,0,811188.516,0,0,0,0,263539.656,0,0
34,77.00405448,8.405477381,0,0,0,0,0,154354.793,0,0,83645.217,83946.5,135974.09,73043.244,69466.828,130303.289,0,78386.524,134446.132,122835.346,0,144328.466,0,0,0,145809.761,144195.292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108332.225,0,0,0,0,0,0,0,0,0,0,0
35,83.0397644,70.77713241,0,212566.044,0,0,0,185392.738,0,0,317642.129,188795.817,290694.514,125393.289,134882.964,0,143420.77,0,257443.617,0,0,301594.076,0,0,0,0,0,448892.435,0,0,0,0,0,0,0,0,0,0,0,386031.161,0,0,161093.819,169810.909,0,0,0,0,0,0,0,0,190340.721,195408.513,0,0,171936.265,0,164772.244
36,89.02070808,8.404122917,0,0,0,0,0,97112.218,0,0,0,0,62854.414,0,0,91592.785,0,0,79789.653,86262.874,0,103354.45,0,0,0,104223.977,102478.516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,89.03167125,32.48260179,0,763366.763,609970.948,513779.461,0,0,262236.985,0,461569.301,0,552816.191,292594.952,130178.985,141393.826,124943.68,0,689266.124,0,794017.43,0,0,404566.361,0,835603.792,0,693213.325,644766.163,230871.695,0,0,0,0,310520.697,343155.543,0,0,274002.918,253961.949,280830.261,266468.117,238794.213,369259.717,0,0,265544.272,0,0,0,0,0,0,0,661615.686,605620.797,0,0,0
38,89.03276672,33.60377222,0,214217.409,268710.28,224980.118,124236.847,182755.984,0,139292.161,0,323968.912,253357.256,144757.041,101249.234,102185.017,0,0,176163.4,0,0,0,0,0,0,255704.759,0,0,0,0,0,0,0,0,0,104235.696,0,0,0,0,0,0,0,0,122766.433,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,89.03002548,38.42026833,1191302.686,0,322741.942,318159.092,0,0,0,0,0,213742.19,200306.734,261854.874,1048749.127,149050.839,619006.529,0,151204.479,206629.694,0,192144.335,0,177750.869,132496.104,145642.808,526295.37,255812.66,0,0,0,0,0,0,0,816983.536,0,0,0,0,0,0,0,0,883893.015,0,0,0,0,0,0,1118414.917,0,0,0,0,0,0,0
40,89.03153381,38.80530083,1034700.726,0,564358.641,524716.649,0,0,230911.893,0,284415.868,177527.316,153440.996,215338.203,901278.687,0,496535.154,0,0,157190.816,150485.637,147724.886,0,0,0,0,400727.216,188179.789,399930.77,929971.124,551364.186,568047.249,854580.565,798775.4,897191.805,0,789301.408,910479.455,825396.807,285234.747,0,995776.847,717978.072,0,0,0,828820.264,417776.794,957206.988,833063.112,1026673.482,0,1072689.565,912312.421,749758.864,434039.019,682305.593,527027.002,982764.014
41,89.03047844,39.33861123,1319575.235,206782.108,0,0,147387.996,183110.983,413842.714,170703.413,450486.733,349373.891,262419.924,334578.29,1108759.494,144823.109,710764.832,0,230080.599,246747.988,0,269227.06,152804.87,282623.915,0,228121.895,505733.777,375170.875,735320.984,1308697.161,787252.064,793354.959,1102306.307,1081583.155,1197350.549,0,1070750.902,1187885.586,1178740.482,429244.778,972736.948,1183875.558,1041490.502,1193321.882,0,0,1112035.813,598285.553,0,1158700.836,1276797.466,0,1333491.256,0,1067566.075,769340.872,1023651.758,782765.856,1248397.885
42,93.01612345,35.76722778,0,0,0,0,0,0,0,0,0,0,151612.348,0,0,0,0,0,0,0,0,0,0,139814.267,0,0,0,186422.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
